probe_row,val_clean_index,sentence,phonemes
0,0,TO MAKE IT WORK,T UW M EY K IH T W ER K
1,1,THE TIME BEFORE HIM WAS HIS OWN,DH AH T AY M B IH F AO R HH IH M W AA Z HH IH Z OW N
2,2,THERE'S NO WRONG WAY,DH EH R EH S N OW R AO NG W EY
3,3,BUT THERE WAS EVEN BETTER NEWS,B AH T DH EH R W AA Z IY V IH N B EH T ER N UW Z
4,4,THE BAT BENEFITS,DH AH B AE T B EH N AH F IH T S
5,5,MAYBE TO SOMEWHERE NICE AND SAFE,M EY B IY T UW S AH M W EH R N AY S AH N D S EY F
6,6,WHEN IT COMES TO PUBLICITY,W EH N IH T K AH M Z T UW P AH B L IH S AH T IY
7,7,AND THE SCOTTISH CUSTOMERS TO BUY,AH N D DH AH S K AA T IH SH K AH S T AH M ER Z T UW B AY
8,8,REMEMBER THAT MAN WITH THE CAMERA,R IH M EH M B ER DH AE T M AE N W IH DH DH AH K AE M ER AH
9,9,THAT'S VERY BAD NEWS,DH AE T EH S V EH R IY B AE D N UW Z
10,10,THE GARRISON RESPONDED WITH A HAIL OF ARROWS,DH AH G AE R IH S AH N R IH S P AA N D IH D W IH DH AH HH EY L AH V AE R OW Z
11,11,WHICH MELTS MORE ICE,W IH CH M EH L T S M AO R AY S
12,12,I THINK SOMETHING DRASTIC NEEDS TO BE DONE,AY TH IH NG K S AH M TH IH NG D R AE S T IH K N IY D Z T UW B IY D AH N
13,13,HERE TO GIVE US A RUNDOWN OF THE GREATEST FACIAL CHOREOGRAPHY EVER SEEN ON THE BOX,HH IY R T UW G IH V AH S AH R AH N D AW N AH V DH AH G R EY T AH S T F EY SH AH L K AO R IY AA G R AH F IY EH V ER S IY N AA N DH AH B AA K S
14,14,THERE WAS A GLIMMER OF HOPE,DH EH R W AA Z AH G L IH M ER AH V HH OW P
15,15,I CAN PLANT THEM IN THAT SPOT,AY K AE N P L AE N T DH EH M IH N DH AE T S P AA T
16,16,GRAHAM BARON ASH,G R EY AH M B AE R AH N AE SH
17,17,TEARING IT TO THE GROUND,T EH R IH NG IH T T UW DH AH G R AW N D
18,18,EVEN BEFORE SHE ENTERED THE WATER,IY V IH N B IH F AO R SH IY EH N T ER D DH AH W AO T ER
19,19,THE SHEER SIZE AND POWER CAN BE INTIMIDATING,DH AH SH IH R S AY Z AH N D P AW ER K AE N B IY IH N T IH M IH D EY T IH NG
20,20,WHICH A LOT OF THEM WERE,W IH CH AH L AA T AH V DH EH M W ER
21,21,THAT'S THE BEST KIND OF TEACHING,DH AE T EH S DH AH B EH S T K AY N D AH V T IY CH IH NG
22,22,I JUST COLLAPSED,AY JH AH S T K AH L AE P S T
23,23,AND WHEN YOU'RE MOVING THROUGH ENEMY TERRITORY,AH N D W EH N Y UW ' R EY M UW V IH NG TH R UW EH N AH M IY T EH R IH T AO R IY
24,24,ANY MAN WOULD BE PROUD TO HAVE YOU AS A SON,EH N IY M AE N W UH D B IY P R AW D T UW HH AE V Y UW AE Z AH S AH N
25,25,USUALLY A BICYCLE,Y UW ZH AH W AH L IY AH B AY S IH K AH L
26,26,HERE ON THE DAY,HH IY R AA N DH AH D EY
