target,phonemes_clean,phonemes_substitute_5pct,phonemes_substitute_10pct,phonemes_substitute_20pct,phonemes_delete_5pct,phonemes_delete_10pct,phonemes_delete_20pct,phonemes_insert_5pct,phonemes_insert_10pct,phonemes_insert_20pct
TO MAKE IT WORK,T UW M EY K IH T W ER K,T AA M EY K IH T W ER K,T AA M EY K IH T W ER K,G IH M EY K IH T W ER K,T M EY K IH T W ER K,T M EY K IH T W ER K,M EY K IH T W ER K,T AA UW M EY K IH T W ER K,T AA UW M EY K IH T W ER K,G T IH UW M EY K IH T W ER K
THE TIME BEFORE HIM WAS HIS OWN,DH AH T AY M B IH F AO R HH IH M W AA Z HH IH Z OW N,DH AH T AY M B IH F HH R HH IH M W AA Z HH IH Z OW N,DH AH T AY M B IH CH G R HH IH M W AA Z HH IH Z OW N,DH AH T R Z B IH AW AO R HH IH M W AA Z HH AE Z OW N,AH T AY M B IH F AO R HH IH M W AA Z HH IH Z OW N,AH T AY M B IH F R HH IH M W AA Z HH IH Z OW N,DH AH T AY B IH R HH IH M W AA Z HH IH Z N,DH AH T AY M B IH F G AO R HH IH M W AA Z HH IH Z OW N,DH AH T AY M B IH CH F F AO R HH IH M W AA Z HH IH Z OW N,DH AH T AE AY P M B IH Y F AO R HH IH M W AA Z HH AW IH Z OW N
THERE'S NO WRONG WAY,DH EH R EH S N OW R AO NG W EY,DH EH R CH S N OW R AO NG W EY,DH EH R EH S N OW R AO NG W AY,F G R EH S N OW R AO NG W EY,DH EH R EH S N OW R AO NG W,DH EH R S N OW R AO NG W EY,DH R EH S N OW R AO NG W,DH EH R CH EH S N OW R AO NG W EY,DH EH R EH S N OW R AO NG W AY EY,F DH EY EH R EH S N OW R AO NG W EY
BUT THERE WAS EVEN BETTER NEWS,B AH T DH EH R W AA Z IY V IH N B EH T ER N UW Z,B AH T V EH R W AA Z IY V IH N B EH T ER N UW Z,B AH P DH EH R W AA Z IY V IH N B EH T ER Z UW Z,P AH T DH EH R R AA Z IY V IH N B EH T V F UW Z,B AH T DH EH R W AA IY V IH N B EH T ER N UW Z,B AH T DH R W Z IY V IH N B EH T ER N UW Z,B DH EH R W AA Z IY V IH N EH T ER UW Z,B AH T UW DH EH R W AA Z IY V IH N B EH T ER N UW Z,B AH P T DH EH R W AA Z IY V IH N B EH T ER Y N UW Z,R B AH T DH EH R F W AA Z IY V IH N B EH T OY ER UW N UW Z
THE BAT BENEFITS,DH AH B AE T B EH N AH F IH T S,DH Z B AE T B EH N AH F IH T S,AA AH B AE T B EH N AH F IH T S,M AH B AE P B EH N AH DH IH T S,DH AH B T B EH N AH F IH T S,DH AH B AE T B EH N AH F IH S,B T B EH N AH F IH T S,DH Y AH B AE T B EH N AH F IH T S,AA DH AH B AE T B EH N AH F IH T S,L DH AH B AE P T B EH N AH DH F IH T S
MAYBE TO SOMEWHERE NICE AND SAFE,M EY B IY T UW S AH M W EH R N AY S AH N D S EY F,M EY B IY T UW S AH M W EH R N AE S AH N D S EY F,M EY G IY T UW UH AH M W EH R N AY S AH N D S EY F,M EY B IY AW UW NG AH AY W AY R N AY S AH N D S EY F,M EY B IY T UW S M W EH R N AY S AH N D S EY F,M EY B T UW S AH M W EH R N AY S AH N S EY F,EY B IY T UW S M W EH R N AY S AH S EY F,M EY B IY T UW S AH M W EH R N AE AY S AH N D S EY F,M EY TH B IY T UW F S AH M W EH R N AY S AH N D S EY F,M EY B IY AY T UW NG S AH AW M W AY EH R N AY S AH N D S EY F
WHEN IT COMES TO PUBLICITY,W EH N IH T K AH M Z T UW P AH B L IH S AH T IY,AW EH N IH T K AH M Z T UW P AH B L IH S AH T IY,ER EH N IH T K AH M Z T UW P AH B L IH S AH T W,W OW N IH T K AH M B T UW SH AH B L IH S AH T V,W EH N IH K AH M Z T UW P AH B L IH S AH T IY,W EH IH T K AH M Z T UW P AH B L IH S AH IY,W EH N IH T K Z T UW P AH L IH S T IY,AW W EH N IH T K AH M Z T UW P AH B L IH S AH T IY,ER W EH N IH T K AH M Z T UW P AH B L IH S AH T V IY,W NG EH N IH T K AH M B Z T UW UW P AH B L IH S AH T S IY
AND THE SCOTTISH CUSTOMERS TO BUY,AH N D DH AH S K AA T IH SH K AH S T AH M ER Z T UW B AY,AH N D DH AH S F AA T IH SH K AH S T AH M ER Z T UW B AY,AH N D DH AH S K AA T IH SH K AH S T AH M ER Z T OY B V,AH N NG DH AH S K AA T ER SH K AH S T AH M Y Z AE AO B AY,AH N D AH S K AA T IH SH K AH S T AH M ER Z T UW B AY,AH D DH AH S K AA T IH SH K AH T AH M ER Z T UW B AY,N D DH AH K AA IH SH K AH S AH M ER T UW B AY,AH N D DH AH S F K AA T IH SH K AH S T AH M ER Z T UW B AY,AH N D DH AH S K AA T IH SH K AH S T AH M ER Z T OY UW B UW AY,AH N AE D DH AH S K AA T AO IH SH K AH S T AH M ER ER Z W T N UW B AY
REMEMBER THAT MAN WITH THE CAMERA,R IH M EH M B ER DH AE T M AE N W IH DH DH AH K AE M ER AH,R IH M EH M B ER DH AE T M AE N W IH DH ZH AH K AE M ER AH,R IH M EH M B ER Z AE T M AE N W IY DH DH AH K AE M ER AH,R IH NG DH M B ER IY AE S M AE N W IH DH DH AH K AE M OW AH,R IH M EH M B ER DH AE T M AE N W IH DH DH AH K AE M AH,IH EH M B ER DH AE T M AE N W IH DH DH AH K AE M ER AH,R IH M EH B ER DH T AE N IH DH DH AH K AE M ER,R IH M EH M B ER DH AE T M AE N W IH DH Z DH AH K AE M ER AH,R IH M EH M B ER IH DH AE T M AE N W Y IH DH DH AH K AE M ER AH,R IH DH M N EH M B ER S DH AE IH T M AE N W IH DH DH AH K AE M NG ER AH
THAT'S VERY BAD NEWS,DH AE T EH S V EH R IY B AE D N UW Z,W AE T EH S V EH R IY B AE D N UW Z,DH AE T EH S V EH R IY B AE D ' DH Z,DH AE T ZH S IH EH R IY B AE D N UW AO,DH AE T EH S V EH R IY B AE N UW Z,DH AE T S V EH R IY B AE D N UW,DH AE T S EH R IY B AE D UW Z,V DH AE T EH S V EH R IY B AE D N UW Z,DH AE T EH S V EH R IY B AE D DH N ' UW Z,DH AE T Z EH S AO V EH R IY B AE D N UW IH Z
